iter	Logloss
0	0.6882951855
1	0.6836290281
2	0.6790563109
3	0.6749225207
4	0.6706928412
5	0.6661911431
6	0.6621298437
7	0.6585465914
8	0.6545230766
9	0.6507095905
10	0.6468198742
11	0.6430650134
12	0.6394654437
13	0.635613076
14	0.6332484042
15	0.6302353109
16	0.6265978432
17	0.6237416789
18	0.6208458908
19	0.6185139352
20	0.6155307383
21	0.6126332355
22	0.6097185492
23	0.6067799322
24	0.6037421581
25	0.601147438
26	0.5982501939
27	0.5953170282
28	0.5925449525
29	0.5899156228
30	0.5872227296
31	0.5844750343
32	0.5823926775
33	0.5799933066
34	0.5780281054
35	0.5756965
36	0.573432018
37	0.5710054674
38	0.5690448089
39	0.5669872169
40	0.5649027811
41	0.5628986574
42	0.5612314606
43	0.5593647172
44	0.5575667888
45	0.5554825921
46	0.5541776792
47	0.5523814764
48	0.5505264495
49	0.5487192123
50	0.5467487147
51	0.545425059
52	0.5436948526
53	0.541984941
54	0.5404872581
55	0.5388847518
56	0.5371237041
57	0.5356898693
58	0.5341389427
59	0.5327735335
60	0.5314308246
61	0.5300236387
62	0.5286731425
63	0.5279425079
64	0.5266306483
65	0.5252031294
66	0.5239053012
67	0.5226275
68	0.5213218429
69	0.5202715638
70	0.5190982779
71	0.5176904734
72	0.5163888749
73	0.5151054058
74	0.5140082296
75	0.5128727624
76	0.5117793894
77	0.5105637453
78	0.5096034938
79	0.5084669216
80	0.5075583727
81	0.5063615017
82	0.5053521802
83	0.5043982356
84	0.5033665217
85	0.5028438234
86	0.5020161153
87	0.5010169654
88	0.5000597006
89	0.4993920686
90	0.4984525184
91	0.4976194418
92	0.4967472673
93	0.4960685405
94	0.4952731139
95	0.494385101
96	0.4935106211
97	0.4926388937
98	0.4916855788
99	0.4908904728
100	0.4899742809
101	0.4891274869
102	0.4883786221
103	0.4875199955
104	0.4868284765
105	0.4858989904
106	0.4852197494
107	0.48462166
108	0.4838928366
109	0.4833195535
110	0.4828192678
111	0.4822138789
112	0.4815461681
113	0.4808349888
114	0.4802427825
115	0.4795844202
116	0.4789548842
117	0.4784028929
118	0.4778044601
119	0.4772332032
120	0.4766105
121	0.4760262833
122	0.4754522847
123	0.4749629949
124	0.4743119277
125	0.4737410501
126	0.4731753109
127	0.4725168032
128	0.4718871127
129	0.4713067559
130	0.4708398432
131	0.4701739473
132	0.4695927141
133	0.4689783526
134	0.4684794787
135	0.4678998927
136	0.4672655922
137	0.4666484673
138	0.4661695913
139	0.4655334335
140	0.4649903313
141	0.4645696871
142	0.4640451017
143	0.4636156882
144	0.4631599373
145	0.4626361612
146	0.4621245404
147	0.4617469645
148	0.461221675
149	0.4609177051
150	0.4603943898
151	0.4603029987
152	0.4598352518
153	0.4594499381
154	0.4589453367
155	0.4584178299
156	0.4581371629
157	0.4577341473
158	0.4573567824
159	0.4573030968
160	0.4567998633
161	0.4564288056
162	0.4560975239
163	0.4556977327
164	0.4556009185
165	0.4551429871
166	0.4547597879
167	0.4543291152
168	0.4538694842
169	0.4533500898
170	0.4530182818
171	0.4524500037
172	0.452165477
173	0.4517428124
174	0.4512934137
175	0.4509324067
176	0.4505398323
177	0.4501430565
178	0.4497245734
179	0.449316851
180	0.4492237528
181	0.4488918458
182	0.4482771489
183	0.447945758
184	0.4477582029
185	0.447273952
186	0.4467973846
187	0.4464435042
188	0.4458849833
189	0.4455253018
190	0.4452824203
191	0.4450693819
192	0.4448720473
193	0.4443794372
194	0.4440480082
195	0.4439555536
196	0.443744052
197	0.4433945973
198	0.4432127878
199	0.4430009508
200	0.4426300674
201	0.4423982698
202	0.4421044452
203	0.4417942331
204	0.4415040657
205	0.441313374
206	0.4410460475
207	0.4408340147
208	0.4403785093
209	0.4401308389
210	0.4398982199
211	0.439497662
212	0.4393108962
213	0.4392486282
214	0.4389781503
215	0.4387432572
216	0.4384872349
217	0.4380989735
218	0.4377041414
219	0.4375338796
220	0.4371441288
221	0.4368220759
222	0.4365639913
223	0.4360933987
224	0.4358410374
225	0.4355812952
226	0.4352028285
227	0.4349568306
228	0.4346072842
229	0.4343621834
230	0.4341935868
231	0.4338990033
232	0.4335433489
233	0.4331017609
234	0.4328943774
235	0.432601825
236	0.4323595847
237	0.4321595894
238	0.4319205679
239	0.4317185749
240	0.4314268265
241	0.4311455446
242	0.4308825357
243	0.4306620975
244	0.4304402631
245	0.4301948348
246	0.4298166611
247	0.4297901594
248	0.4295930856
249	0.4295826195
250	0.4294375177
251	0.4291254437
252	0.4289877668
253	0.4286060011
254	0.4283075259
255	0.4280491435
256	0.4277403096
257	0.4275868806
258	0.4273112973
259	0.4271121518
260	0.4269562916
261	0.4266972231
262	0.4265765869
263	0.4262831378
264	0.426111452
265	0.4257676272
266	0.425436669
267	0.4252618704
268	0.4248961178
269	0.424696151
270	0.4244991358
271	0.4241757128
272	0.423811273
273	0.423502059
274	0.4232304398
275	0.4228469941
276	0.4225556913
277	0.4223258969
278	0.4220687158
279	0.4219340151
280	0.4216893416
281	0.4215073163
282	0.4211839328
283	0.420961917
284	0.4208187394
285	0.4204468312
286	0.4202083432
287	0.4199097769
288	0.4197368885
289	0.4193286211
290	0.4191680204
291	0.4190005974
292	0.4188074501
293	0.4186455526
294	0.4183761614
295	0.4182189969
296	0.4181071657
297	0.4177493038
298	0.417508888
299	0.4173093159
